file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\research\repos_analysis\workspace\compiler-eclipse\src\Compiler.java,Compiler,main/1[java.lang.String[]],false,13,2,2,0,2,4,4,10,0,4,1,4,0,0,1,0,0,0,1,2,4,0,2,0,0,0,14,9,0,true
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,PeekNextToken/0,false,221,2,20,19,1,1,1,6,1,2,0,1,1,2,0,0,0,0,1,0,3,0,0,0,0,0,8,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,Lexer/1[java.lang.String],true,30,0,3,3,0,1,0,8,0,0,1,0,0,0,0,0,0,0,2,2,6,1,0,0,0,0,13,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,"Lexer/2[java.lang.String,java.lang.String]",true,39,0,1,1,0,1,0,9,0,0,2,0,0,0,0,0,0,0,2,2,7,1,0,0,0,0,13,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,initLocalFile/0,false,50,0,4,4,0,5,6,21,0,3,0,6,0,0,1,1,1,2,4,0,6,1,3,0,0,0,20,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,setReadIndex/1[int],false,77,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getFolderPath/0,false,73,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,error/1[java.lang.String],false,89,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getTextContent/0,false,85,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,GetNextToken/0,false,216,2,21,20,1,1,1,3,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,getReadIndex/0,false,81,0,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Lexer.java,Lexer,TokenOperation/1[java.lang.String],false,95,2,5,2,3,34,17,112,2,9,1,17,1,1,3,5,0,0,25,7,24,7,7,0,0,0,25,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,dataTypeTransferDictionary/0,false,136,0,1,1,0,1,1,7,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,methodMatch/1[java.lang.String],false,144,0,2,2,0,3,1,8,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,initReturnTypeDictionary/0,false,81,0,1,1,0,1,1,47,0,0,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,4,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,initArgumentDictionary/0,false,25,0,1,1,0,1,1,47,0,0,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,6,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\JackClasses.java,JackClasses,JackClasses/0,true,19,1,4,1,3,1,3,5,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addIdentifierSymbolTable/5[java.lang.String,Symbol.SymbolType,java.lang.String,java.lang.String,java.lang.String]",false,34,2,5,4,1,1,1,10,0,1,5,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitOrNot/1[java.lang.String],false,163,0,1,1,0,3,1,8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,9,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierAssignDataType/1[java.lang.String],false,135,0,2,2,0,3,1,10,1,1,1,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,10,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setCounter/1[int],false,159,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getInitOrNot/1[java.lang.String],false,182,0,0,0,0,3,1,10,1,1,1,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,10,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,SymbolTable/0,true,21,1,1,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,17,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"addFunctionSymbolTable/5[java.lang.String,Symbol.SymbolType,java.util.ArrayList<java.lang.String>,java.lang.String,int]",false,45,2,2,1,1,1,1,9,0,1,5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,print/0,false,193,0,0,0,0,2,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getIdentifierBeAssignedDataType/1[java.lang.String],false,146,0,1,1,0,3,1,10,1,1,1,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,11,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,"checkSymbolType/2[java.lang.String,java.lang.String]",false,99,0,0,0,0,4,2,10,2,0,2,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,9,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getArgument/1[java.lang.String],false,110,0,2,2,0,4,1,13,1,1,1,1,0,0,2,0,0,1,2,1,3,1,3,0,0,0,11,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getFunctionReturnType/1[java.lang.String],false,124,0,2,2,0,3,1,10,1,1,1,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,9,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findFunctionSymbol/1[java.lang.String],false,74,0,5,5,0,3,2,11,2,0,1,2,0,0,1,0,0,0,0,0,3,0,2,0,0,0,14,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,getOffset/1[java.lang.String],false,86,0,0,0,0,3,1,10,1,1,1,1,0,0,1,0,0,0,0,1,2,0,2,0,0,0,7,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,addLocalFunctionName/1[java.lang.String],false,55,1,1,0,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,findIdentifierSymbol/1[java.lang.String],false,60,0,7,7,0,3,1,13,2,0,1,1,0,0,1,0,0,0,0,0,5,0,2,0,0,0,18,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\SymbolTable.java,SymbolTable,setInitToNot/1[java.lang.String],false,172,0,1,1,0,3,1,8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,9,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,print/0,false,70,0,0,0,0,3,3,3,0,0,0,3,0,0,0,1,0,0,5,0,0,1,1,0,0,0,6,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,changeTokenContent/0,false,64,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,initSymbols/0,false,29,0,1,1,0,1,1,29,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,"setToken/3[java.lang.String,Token.TokenType,int]",false,59,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Token.java,Token,Token/0,true,26,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classCheck/0,false,173,3,6,1,5,6,8,31,0,2,0,8,1,1,1,0,0,1,11,1,8,5,2,0,0,0,17,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,letStatementCheck/0,false,774,3,13,3,10,36,19,108,0,8,0,19,4,7,1,2,0,10,56,18,19,15,6,0,0,0,58,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classVarDeclarCheck/0,false,649,3,7,1,6,15,12,60,0,3,0,12,2,1,1,0,0,0,28,3,10,6,4,0,0,0,25,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,parserAnalysis/0,false,123,3,15,1,14,18,17,53,0,1,0,17,12,20,1,0,1,0,18,1,5,3,4,0,0,0,36,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,operand/0,false,1573,5,13,1,12,88,23,318,0,20,0,23,4,6,4,2,0,19,194,85,64,65,7,0,0,0,62,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ArithmeticExpression/0,false,1475,2,6,1,5,10,6,24,0,1,0,6,3,6,1,0,0,2,18,0,4,3,2,0,0,0,19,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,doStatementCheck/0,false,1128,2,7,3,4,3,6,15,0,0,0,6,2,8,0,0,1,0,3,0,1,1,2,0,0,0,14,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,symbolTableVarClear/0,false,110,0,7,7,0,2,0,12,0,0,0,0,0,0,1,0,0,0,4,3,8,0,1,0,0,0,7,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,returnStatementCheck/0,false,1361,3,9,3,6,14,7,32,0,1,0,7,3,7,0,0,0,0,25,4,3,7,2,0,0,0,32,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,error/1[java.lang.String],false,87,0,19,19,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionVarDeclarCheck/0,false,711,3,8,2,6,14,12,61,0,3,0,12,2,1,1,0,0,0,27,3,11,5,4,0,0,0,28,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,functionCheck/0,false,464,3,10,1,9,20,18,102,0,4,0,18,3,1,1,0,0,0,47,13,18,11,4,0,0,0,41,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,term/0,false,1511,2,6,1,5,10,6,23,0,1,0,6,3,6,1,0,0,2,16,0,2,2,2,0,0,0,18,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ClassesFunctionsReference/0,false,215,2,9,1,8,9,9,27,0,2,0,9,2,3,2,0,0,2,6,1,5,4,4,0,0,0,19,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,Parser/1[Lexer],true,49,4,6,1,5,1,3,12,0,0,1,3,1,21,0,0,0,0,0,5,8,0,0,0,0,0,12,1,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classStaticDeclarCheck/1[java.lang.String],false,575,3,11,1,10,18,17,70,0,4,1,17,2,1,2,0,1,0,31,4,11,9,7,0,0,0,31,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,subroutineCallCheck/0,false,1143,5,13,1,12,56,20,183,0,10,0,20,4,7,3,0,0,15,109,55,39,41,7,0,0,0,52,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmCodeInput/1[java.lang.String],false,74,1,13,12,1,2,6,13,0,3,1,6,0,0,0,0,1,0,1,0,3,1,1,0,0,0,16,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,ifStatementCheck/0,false,929,3,14,3,11,26,14,127,0,4,0,14,8,13,2,0,2,0,45,2,13,15,4,0,0,0,34,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,expression/0,false,1406,2,11,6,5,11,6,19,0,2,0,6,3,6,1,0,0,3,12,0,3,1,2,0,0,0,22,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,relationalExpression/0,false,1432,2,6,1,5,10,11,34,0,2,0,11,3,6,1,0,0,1,17,0,5,4,3,0,0,0,26,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,classFunctionsCheck/1[java.lang.String],false,248,4,12,1,11,42,18,185,0,14,1,18,2,1,5,2,0,1,73,13,23,23,7,0,0,0,42,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,whileStatementCheck/0,false,1059,3,15,3,12,14,14,70,0,2,0,14,9,13,1,0,1,0,28,1,4,9,3,0,0,0,28,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,vmFileCreate/0,false,62,1,2,1,1,3,4,11,0,0,0,4,0,0,0,0,1,0,1,0,1,1,2,0,0,0,7,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,factor/0,false,1547,2,6,1,5,7,6,20,0,1,0,6,3,6,0,0,0,0,13,0,2,2,2,0,0,0,16,2,0,false
E:\research\repos_analysis\workspace\compiler-eclipse\src\Parser.java,Parser,localFileCheck/1[java.lang.String],false,92,1,2,1,1,5,6,18,2,2,1,6,0,0,1,0,1,0,1,0,3,0,4,0,0,0,12,2,0,false
